rule_id,staging_system,edition,site,stage_grouping_scope,histology,T,N,M,uicc_stage,source_file,source_pages,source_table,notes
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N1b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N1b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N1b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N1b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N1b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N1b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T0,N1c,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1,N1c,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1a,N1c,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1b,N1c,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1c,N1c,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1mi,N1c,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0265,UICC TNM,7,Breast,both,all,T2,N1c,M0,IIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N1c,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N1c,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N1c,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N1c,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N1c,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N1c,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0262,UICC TNM,7,Breast,both,all,T0,N1mi,M0,IB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0262,UICC TNM,7,Breast,both,all,T1,N1mi,M0,IB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0262,UICC TNM,7,Breast,both,all,T1a,N1mi,M0,IB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0262,UICC TNM,7,Breast,both,all,T1b,N1mi,M0,IB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0262,UICC TNM,7,Breast,both,all,T1c,N1mi,M0,IB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0262,UICC TNM,7,Breast,both,all,T1mi,N1mi,M0,IB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T0,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1a,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1b,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1c,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1mi,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T2,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N2,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N2,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N2,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N2,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N2,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N2,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T0,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1a,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1b,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1c,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1mi,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T2,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N2a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N2a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N2a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N2a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N2a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N2a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T0,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1a,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1b,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1c,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T1mi,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0267,UICC TNM,7,Breast,both,all,T2,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N2b,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N2b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N2b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N2b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N2b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N2b,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T0,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1a,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1b,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1c,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1mi,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T2,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T3,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4a,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4b,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4c,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4d,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,Tis,N3,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T0,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1a,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1b,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1c,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1mi,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T2,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T3,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4a,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4b,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4c,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4d,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,Tis,N3a,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T0,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1a,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1b,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1c,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1mi,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T2,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T3,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4a,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4b,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4c,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4d,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,Tis,N3b,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T0,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1a,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1b,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1c,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T1mi,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T2,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T3,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4a,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4b,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4c,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,T4d,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0270,UICC TNM,7,Breast,both,all,Tis,N3c,M0,IIIC,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T0,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1a,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1b,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1c,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1mi,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T2,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T3,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4a,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4b,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4c,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4d,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,Tis,N0,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T0,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1a,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1b,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1c,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1mi,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T2,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T3,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4a,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4b,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4c,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4d,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,Tis,N1,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T0,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1a,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1b,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1c,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T1mi,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T2,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T3,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4a,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4b,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4c,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,T4d,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0271,UICC TNM,7,Breast,both,all,Tis,N1a,M1,IV,uicc/UICC_7th edition.pdf,191,Stage grouping,
