component_tnm,type,classification_version,concept_id,note
M1,clinical,unspecified,1635085,Pathological M requires microscopic confirmation of distant metastasis.
M1,pathology,7th,1635336,Pathological M requires microscopic confirmation of distant metastasis.
M1,pathology,8th,1634891,Pathological M requires microscopic confirmation of distant metastasis.
M1,pathology,unspecified,1635505,Pathological M requires microscopic confirmation of distant metastasis.
M1a,base,7th,1634775,Pathological M requires microscopic confirmation of distant metastasis.
M1a,base,8th,1634082,Pathological M requires microscopic confirmation of distant metastasis.
M1a,base,unspecified,1635100,Pathological M requires microscopic confirmation of distant metastasis.
M1a,clinical,7th,1635878,Pathological M requires microscopic confirmation of distant metastasis.
M1a,clinical,8th,1635149,Pathological M requires microscopic confirmation of distant metastasis.
M1a,clinical,unspecified,1633777,Pathological M requires microscopic confirmation of distant metastasis.
M1a,pathology,7th,1634268,Pathological M requires microscopic confirmation of distant metastasis.
M1a,pathology,8th,1635097,Pathological M requires microscopic confirmation of distant metastasis.
M1a,pathology,unspecified,1634312,Pathological M requires microscopic confirmation of distant metastasis.
M1b,base,7th,1635747,Pathological M requires microscopic confirmation of distant metastasis.
M1b,base,8th,1634661,Pathological M requires microscopic confirmation of distant metastasis.
M1b,base,unspecified,1634463,Pathological M requires microscopic confirmation of distant metastasis.
M1b,clinical,7th,1635302,Pathological M requires microscopic confirmation of distant metastasis.
M1b,clinical,8th,1633375,Pathological M requires microscopic confirmation of distant metastasis.
M1b,clinical,unspecified,1635090,Pathological M requires microscopic confirmation of distant metastasis.
M1b,pathology,7th,1635008,Pathological M requires microscopic confirmation of distant metastasis.
M1b,pathology,8th,1634712,Pathological M requires microscopic confirmation of distant metastasis.
M1b,pathology,unspecified,1634093,Pathological M requires microscopic confirmation of distant metastasis.
M1c,base,7th,1635843,Pathological M requires microscopic confirmation of distant metastasis.
M1c,base,8th,1634975,Pathological M requires microscopic confirmation of distant metastasis.
M1c,base,unspecified,1635519,Pathological M requires microscopic confirmation of distant metastasis.
M1c,clinical,7th,1635461,Pathological M requires microscopic confirmation of distant metastasis.
M1c,clinical,8th,1633784,Pathological M requires microscopic confirmation of distant metastasis.
M1c,clinical,unspecified,1635255,Pathological M requires microscopic confirmation of distant metastasis.
M1c,pathology,7th,1634188,Pathological M requires microscopic confirmation of distant metastasis.
M1c,pathology,8th,1634657,Pathological M requires microscopic confirmation of distant metastasis.
M1c,pathology,unspecified,1635338,Pathological M requires microscopic confirmation of distant metastasis.
M1c1,base,7th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,base,8th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,base,unspecified,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,clinical,7th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,clinical,8th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,clinical,unspecified,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,pathology,7th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,pathology,8th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c1,pathology,unspecified,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,base,7th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,base,8th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,base,unspecified,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,clinical,7th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,clinical,8th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,clinical,unspecified,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,pathology,7th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,pathology,8th,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1c2,pathology,unspecified,,"Pathological M requires microscopic confirmation of distant metastasis. No exact 7th-, 8th-, or version-unspecified standard Cancer Modifier concept was present in the Athena export."
M1d,base,7th,1633866,Pathological M requires microscopic confirmation of distant metastasis.
M1d,base,8th,1634259,Pathological M requires microscopic confirmation of distant metastasis.
M1d,base,unspecified,1634064,Pathological M requires microscopic confirmation of distant metastasis.
M1d,clinical,7th,1633666,Pathological M requires microscopic confirmation of distant metastasis.
M1d,clinical,8th,1633799,Pathological M requires microscopic confirmation of distant metastasis.
M1d,clinical,unspecified,1634048,Pathological M requires microscopic confirmation of distant metastasis.
M1d,pathology,7th,1634325,Pathological M requires microscopic confirmation of distant metastasis.
M1d,pathology,8th,1634526,Pathological M requires microscopic confirmation of distant metastasis.
M1d,pathology,unspecified,1635373,Pathological M requires microscopic confirmation of distant metastasis.
